Latest: Time (min),Latest: Dissolved O2 (mg/L),Latest: LED (umol photons/m2/s),Latest: S171 Temp (V) (V),Latest: Temperature (°C)
0,2.103725764,-594.9567102,1.315383911,22.67374823
0.016666667,2.103991889,-594.9567102,1.315307617,22.67506729
0.033333333,2.103193512,-594.9567102,1.315460205,22.67242925
0.05,2.104524141,-594.9567102,1.315460205,22.67242925
0.066666667,2.103193512,-594.9567102,1.315460205,22.67242925
0.083333333,2.103725764,-594.9567102,1.315536499,22.67111036
0.1,2.101596756,-594.9567102,1.315460205,22.67242925
0.116666667,2.102129008,-594.9567102,1.315536499,22.67111036
0.133333333,2.103193512,-594.9567102,1.315536499,22.67111036
0.15,2.103193512,-594.9567102,1.315536499,22.67111036
0.166666667,2.10133063,-594.9567102,1.315536499,22.67111036
0.183333333,2.103193512,-594.9567102,1.315536499,22.67111036
0.2,2.102129008,-594.9567102,1.315383911,22.67374823
0.216666667,2.102129008,-594.9567102,1.315307617,22.67506729
0.233333333,2.102129008,-594.9567102,1.315231323,22.67638644
0.25,2.101064504,-594.9567102,1.315383911,22.67374823
0.266666667,2.100798378,-594.9567102,1.315307617,22.67506729
0.283333333,2.100266126,-594.9567102,1.315231323,22.67638644
0.3,2.099733874,-594.9567102,1.315307617,22.67506729
0.316666667,2.099733874,-594.9567102,1.315231323,22.67638644
0.333333333,2.098403244,-594.9567102,1.315078735,22.67902499
0.35,2.099201622,-594.9567102,1.315231323,22.67638644
0.366666667,2.098137118,-594.9567102,1.315231323,22.67638644
0.383333333,2.097604866,-594.9567102,1.315383911,22.67374823
0.4,2.099201622,-594.9567102,1.315307617,22.67506729
0.416666667,2.098935496,-594.9567102,1.315460205,22.67242925
0.433333333,2.09733874,-594.9567102,1.315383911,22.67374823
0.45,2.096274236,-594.9567102,1.315383911,22.67374823
0.466666667,2.096540362,-594.9567102,1.315383911,22.67374823
0.483333333,2.096540362,-594.9567102,1.315307617,22.67506729
0.5,2.094943607,-594.9567102,1.315231323,22.67638644
0.516666667,2.093612977,-594.9567102,1.315155029,22.67770567
0.533333333,2.093879103,-594.9567102,1.315155029,22.67770567
0.55,2.093879103,-594.9567102,1.315078735,22.67902499
0.566666667,2.093612977,-594.9567102,1.315002441,22.6803444
0.583333333,2.092548473,-594.9567102,1.315078735,22.67902499
0.6,2.092016221,-594.9567102,1.315002441,22.6803444
0.616666667,2.090951717,-594.9567102,1.315155029,22.67770567
0.633333333,2.091217843,-594.9567102,1.315002441,22.6803444
0.65,2.091750095,-594.9567102,1.315002441,22.6803444
0.666666667,2.091217843,-594.9567102,1.315078735,22.67902499
0.683333333,2.091217843,-594.9567102,1.315078735,22.67902499
0.7,2.092282347,-594.9567102,1.315155029,22.67770567
0.716666667,2.091483969,-594.9567102,1.315078735,22.67902499
0.733333333,2.092016221,-594.9567102,1.315002441,22.6803444
0.75,2.092282347,-594.9567102,1.315078735,22.67902499
0.766666667,2.092282347,-594.9567102,1.315002441,22.6803444
0.783333333,2.092548473,-594.9567102,1.315155029,22.67770567
0.8,2.092282347,-594.9567102,1.315002441,22.6803444
0.816666667,2.091217843,-594.9567102,1.314926147,22.68166389
0.833333333,2.090685591,-594.9567102,1.315002441,22.6803444
0.85,2.091217843,-594.9567102,1.314926147,22.68166389
0.866666667,2.091483969,-594.9567102,1.315002441,22.6803444
0.883333333,2.091217843,-594.9567102,1.315002441,22.6803444
0.9,2.090685591,-594.9567102,1.315002441,22.6803444
0.916666667,2.089354961,-594.9567102,1.314926147,22.68166389
0.933333333,2.089088835,-594.9567102,1.315002441,22.6803444
0.95,2.088822709,-594.9567102,1.315002441,22.6803444
0.966666667,2.089088835,-594.9567102,1.314849854,22.68298346
0.983333333,2.087758206,-594.9567102,1.314849854,22.68298346
1,2.087758206,-594.9567102,1.315002441,22.6803444
1.016666667,2.087758206,-594.9567102,1.315002441,22.6803444
1.033333333,2.08616145,-594.9567102,1.314849854,22.68298346
1.05,2.08616145,-594.9567102,1.314849854,22.68298346
1.066666667,2.086427576,-594.9567102,1.314849854,22.68298346
1.083333333,2.085895324,-594.9567102,1.314926147,22.68166389
1.1,2.08616145,-594.9567102,1.314849854,22.68298346
1.116666667,2.084564694,-594.9567102,1.314849854,22.68298346
1.133333333,2.085629198,-594.9567102,1.314849854,22.68298346
1.15,2.08616145,-594.9567102,1.314849854,22.68298346
1.166666667,2.085629198,-594.9567102,1.314849854,22.68298346
1.183333333,2.084564694,-594.9567102,1.314849854,22.68298346
1.2,2.082967938,-594.9567102,1.31477356,22.68430313
1.216666667,2.08350019,-594.9567102,1.314849854,22.68298346
1.233333333,2.084032442,-594.9567102,1.31477356,22.68430313
1.25,2.083766316,-594.9567102,1.31477356,22.68430313
1.266666667,2.08216956,-594.9567102,1.314849854,22.68298346
1.283333333,2.08350019,-594.9567102,1.314849854,22.68298346
1.3,2.081637308,-594.9567102,1.31477356,22.68430313
1.316666667,2.08083893,-594.9567102,1.314849854,22.68298346
1.333333333,2.080040553,-594.9567102,1.314849854,22.68298346
1.35,2.080040553,-594.9567102,1.314849854,22.68298346
1.366666667,2.079508301,-594.9567102,1.314849854,22.68298346
1.383333333,2.079774427,-594.9567102,1.314926147,22.68166389
1.4,2.080306678,-594.9567102,1.314697266,22.68562288
1.416666667,2.080572804,-594.9567102,1.314849854,22.68298346
1.433333333,2.079774427,-594.9567102,1.314849854,22.68298346
