"","listFiles","listNumExp","lightIntensity1","productivity1","productivitySE1","nLight1","r2Light1","pvalueLight1","respiration1","respirationSE1","nDark1","r2Dark1","pvalueDark1","lightIntensity2","productivity2","productivitySE2","nLight2","r2Light2","pvalueLight2","respiration2","respirationSE2","nDark2","r2Dark2","pvalueDark2"
"1","21_10_25_lustulia_mother.csv",1,98.4975102306422,0.148491303276041,0.000434183570964196,147,0.998753306963803,1.11413277888152e-212,-0.028997180081833,0.000394980017474791,97,0.982496632620685,1.76976159037567e-85,98.5949549076428,0.146914111741733,0.000400270179548567,145,0.998932221474154,1.39236479096804e-214,-0.0428331898959472,0.000253689337595364,144,0.995008607733869,1.52563221788998e-165
"6","21_10_26_lustulia_LoCoLoLi.csv",2,98.9541323997775,-0.0174809121384718,0.000189213602858541,147,0.983180483013426,9.53220437522067e-131,-0.0511427515990407,0.000216087753264332,153,0.99729375837673,5.48976944092214e-196,48.5314940111545,-0.0254442193608904,0.000347764699971047,99,0.982018756330963,1.1323381814723e-86,-0.0521980854223116,0.000301775344436782,149,0.995077434875408,9.5116068212732e-172
"7","21_10_26_lustulia_LoCoMeLi.csv",3,48.538122437363,0.000125281940182764,0.000445369408532262,73,-0.012955573894881,0.779299319241358,-0.0321183364603718,0.000222111722222226,162,0.992358962785412,1.72405022851135e-171,99.9435777521725,0.0209654858747133,0.000313434356983088,102,0.977919699390543,7.75781633697987e-85,-0.0325252825510037,0.000258160100583946,140,0.99131856559102,2.39615515036203e-144
"5","21_10_26_lustulia_LoCoHiLi.csv",4,99.8774259948848,0.00140554128268492,0.000122073219131411,178,0.426386892114604,3.16799408585025e-23,-0.0336978093460827,0.000152837540725953,162,0.996698923844411,1.19090802449656e-200,48.5776562197693,-0.00767031566643529,2.79486439211839e-05,505,0.993352859549786,0,-0.0352997536704619,0.000397738163245627,105,0.986967062388447,4.03472344657835e-99
"9","21_10_26_lustulia_MeCoLoLi.csv",5,48.4035766347326,0.00367437236841783,0.000342303752427541,144,0.44406435490616,4.74382556113043e-20,-0.0108735969482449,0.000158906864084304,147,0.969755478899727,2.86762981873523e-112,98.3625977883522,0.0268676762523433,0.000122916084857023,201,0.995831477411186,5.30252640137797e-239,-0.0156141921720332,0.000110885832699935,238,0.988188014224531,1.08389464667826e-229
"10","21_10_26_lustulia_MeCoMeLi.csv",6,98.3340239568795,0.0237013456117774,0.00010608749272099,161,0.996804630431485,1.56386941157393e-200,-0.0268143371951163,0.000176213462544209,133,0.994331502968409,3.01653612162912e-149,48.5896810720868,0.00621573612542987,0.000195406819394561,159,0.864821589904028,2.47722255829911e-70,-0.0276262410049203,0.000113823441814671,155,0.997392561622623,8.57778368784429e-200
"8","21_10_26_lustulia_MeCoHiLi.csv",7,48.5849673674593,0.00115248511196866,0.000120104475098663,172,0.347520588300762,1.07235627752314e-17,-0.0317294490418082,0.000146110779444718,148,0.99689247725551,3.544216473269e-185,100.167602646266,0.0218680431678553,0.00016522400363003,188,0.989437151507261,5.80685448030111e-186,-0.029066268600811,0.00013911712728905,142,0.996780331501338,1.44275210260828e-176
"3","21_10_26_lustulia_HiCoLoLi.csv",8,100.100452575725,0.129038639498701,0.000207886908198013,155,0.999600457462259,4.09355331638711e-262,-0.025095765122349,0.000171513487110592,157,0.992765852057484,4.93961177689169e-168,48.5592790802096,0.0476575192448416,9.26212693005724e-05,271,0.998981217865714,0,-0.0266175078036149,0.000216485432310387,135,0.991213351665639,7.74430597805594e-139
"4","21_10_26_lustulia_HiCoMeLi.csv",9,48.5550959087796,0.0336563704464641,0.000219153036150392,157,0.993428867663624,2.8717376119249e-171,-0.0358995540049885,0.000520944097290103,149,0.969770816068526,8.29855470365466e-114,98.5082587447287,0.104341287210302,0.000194499072548514,157,0.999458231879485,2.88590134207318e-255,-0.0338038363453838,0.000162985149296731,165,0.99620190868547,2.06104684080127e-199
"2","21_10_26_lustulia_HiCoHiLi.csv",10,98.4454610503322,0.0648430601483769,0.0003021298532115,152,0.996732427455608,1.45993511035684e-188,-0.0423699847854438,0.000153275899221646,152,0.998027775325129,5.23471852146269e-205,51.8678739775136,0.0224244662409086,0.000125209382348727,198,0.993895501260565,3.41722203371276e-219,-0.0446260869792999,0.000340219628950472,141,0.991928121809367,1.41168813367557e-147
"15","21_10_27_lustulia_LoCoLoLi.csv",11,52.1061518795415,0.00329117375293758,0.000169206856751454,142,0.727970207147948,1.2650915415277e-41,-0.0231591694479965,0.000290586527075085,109,0.983278559324958,4.15716863941155e-97,98.7796524028465,0.019046061663147,0.000151900228569061,157,0.990174146407608,1.00097788919908e-157,-0.0211458959765155,0.000210503771625727,134,0.986990067493639,1.47718302106789e-126
"16","21_10_27_lustulia_LoCoMeLi.csv",12,99.1451637033963,0.0036518781111766,0.000115747136530927,189,0.841005791082921,8.22192906772404e-77,-0.0351539839988642,6.45419628886424e-05,315,0.998942678855249,0,50.7522028350896,0.00265245109064816,0.000171545279487724,144,0.62474744427821,3.0555467476506e-32,-0.0276763079117434,0.000182115114840349,145,0.993803343434445,5.5936997740403e-160
"14","21_10_27_lustulia_LoCoHiLi.csv",13,50.6493396188965,-0.0159043479151115,0.000189501709231494,145,0.97996319616667,1.55653431925286e-123,-0.0388757777251454,0.000167484556561667,146,0.997315890947068,3.01849910336499e-187,0,0,0,0,0,0,-0.038129820746194,0.000303240651845429,148,0.990787644227699,1.0084238818915e-150
"18","21_10_27_lustulia_MeCoLoLi.csv",14,50.5425488181074,0.0205299762033621,9.66388580156497e-05,244,0.994644371884718,4.78735447040832e-277,-0.0348639167447282,0.000322019015975143,150,0.987446992238042,8.12238768607991e-143,101.31840287278,0.0517266278315709,0.000178930041817984,150,0.998220262138841,1.33777996019295e-205,-0.0359205496076719,0.000558311333596591,104,0.975715328917351,2.17576749043373e-84
"19","21_10_27_lustulia_MeCoMeLi.csv",15,101.1466219435,0.0298949146788836,0.000364040245383786,144,0.979232209547636,1.40545635314699e-121,-0.0428192192693052,0.00033470340597385,148,0.991097681949957,8.28403824016597e-152,51.8254547051993,0.00924149852338831,0.000260122618064055,136,0.903309059664162,4.60951548583208e-70,-0.0431354929243834,0.000394547199747244,148,0.987850088526252,6.01244045486517e-142
"17","21_10_27_lustulia_MeCoHiLi.csv",16,51.7264886303895,-0.00233640418582026,0.000176611897694879,143,0.550643219084984,1.75296370171314e-26,-0.0480922104892942,0.000133958673529178,179,0.998620835108041,2.61295338126116e-255,99.7481734298794,0.0255640140951381,0.000184518944709549,141,0.992758672665243,7.45057387888432e-151,-0.0478563065764522,0.000213370482461012,116,0.997719106091616,1.17167669733847e-152
"12","21_10_27_lustulia_HiCoLoLi.csv",17,99.7088431853112,0.129624867607212,0.000270642773839559,143,0.999381360419188,2.55075805791811e-228,-0.028116181314488,0.000266214163684899,150,0.986817083261755,3.04322562238935e-141,48.4493136408644,0.0493261298864344,0.000176039803780125,146,0.998156513988607,5.39596979353587e-199,-0.0300436119499797,0.0002425792935335,144,0.990762866116601,1.45801527473708e-146
